"Spot","Spot_alt","10m_Gel1_IS","10m_Gel1_Total (Cy3)","10m_Gel1_Carbonyl (Cy5)","10m_Gel2_IS","10m_Gel2_Total (Cy3)","10m_Gel2_Carbonyl (Cy5)","10m_Gel3_IS","10m_Gel3_Total (Cy3)","10m_Gel3_Carbonyl (Cy5)","10m_Gel4_IS","10m_Gel4_Total (Cy3)","10m_Gel4_Carbonyl (Cy5)","30m_Gel1_IS","30m_Gel1_Total (Cy3)","30m_Gel1_Carbonyl (Cy5)","30m_Gel2_IS","30m_Gel2_Total (Cy3)","30m_Gel2_Carbonyl (Cy5)","30m_Gel3_IS","30m_Gel3_Total (Cy3)","30m_Gel3_Carbonyl (Cy5)","30m_Gel4_IS","30m_Gel4_Total (Cy3)","30m_Gel4_Carbonyl (Cy5)","75m_Gel1_IS","75m_Gel1_Total (Cy3)","75m_Gel1_Carbonyl (Cy5)","75m_Gel2_IS","75m_Gel2_Total (Cy3)","75m_Gel2_Carbonyl (Cy5)","75m_Gel3_IS","75m_Gel3_Total (Cy3)","75m_Gel3_Carbonyl (Cy5)","75m_Gel4_IS","75m_Gel4_Total (Cy3)","75m_Gel4_Carbonyl (Cy5)"
341,24,2576172.382331,194138.017703195,288100.217945109,3915719.2234686,240556.013890238,458073.843653141,4245775.41534172,298469.52878395,460193.291703234,2308548.84035342,180015.581339767,280441.049153287,3377798.38337616,711537.488662806,736530.494868399,4439831.37166581,779185.450190894,851755.72897716,3092472.55559396,626820.439589609,705358.893378041,2967878.32701367,625549.058111888,614510.152369919,4230273.82288605,2152885.35698451,2358853.88956307,3241359.21084313,1310370.60254392,1206815.17621777,1746580.27314344,841230.735051558,803757.888952602,3137025.26528341,1511082.26530193,1179934.89520272
345,25,461023.899789989,31454.3112176739,191864.274105029,661577.307816393,40510.7243252368,258973.129674199,491902.534799881,28534.1775929276,253132.002035421,463076.898992554,34024.2933692539,147641.358106802,521198.02980039,105369.256735774,349556.123887301,694351.261317037,159836.46971506,406466.227368437,581361.541388183,112745.941119013,342596.020754866,460190.969615893,89066.3714358677,251359.156934914,797997.543751118,378321.874855316,1011138.09795155,757693.423558264,314090.64340969,905101.726521226,574541.361679094,261203.25312572,686503.09633789,643190.479031506,292493.146041715,721689.200677665
364,26,7495731.0506406,601460.893300974,576198.316373427,18028349.6544413,1128508.36819409,1095752.22963308,10287814.8263662,742513.389951229,689221.364002268,7185475.41133222,578328.18020564,622450.791018034,11615721.7382963,2564312.52867302,1779029.36293858,14724897.4559327,2663856.64033078,2100483.82265767,12434902.3661585,2582900.05258388,1921642.13224571,5580631.02088536,1191096.06040147,967454.946242947,7712042.67549047,3938369.74429314,2834238.06776516,19591150.9527679,8043314.56519886,5990267.99174012,7237423.44964962,3484593.97723853,2715496.0767015,14352708.0571001,6977033.25445654,4406245.91259866
331,27,774353.959493342,64509.0003608803,153816.192214968,1217128.59192581,87861.243592525,199680.507142385,1090293.5632383,85541.7563495757,175397.995487297,622319.501011908,57550.9179512228,150223.23471242,591536.409895278,131427.135657742,270415.397098775,1426794.40181538,279357.103790299,426443.421784816,459092.001061521,102274.145039069,230478.62568785,705687.428686928,168846.853786074,211160.889776983,957553.356546726,497293.647825603,724630.808993289,903040.634857827,380036.441081893,611841.2752727,484664.572247363,244209.671054695,378126.525077401,850531.88354442,437255.611700416,529399.919294639
337,28,230638.294152444,14924.3046244712,176143.703133778,304258.955317497,18802.144947647,131165.838755581,238846.927895748,15978.9995442397,145690.527762704,121256.072939144,9506.1067976763,91359.628026952,235413.7166495,47958.1718661264,172591.844542871,551836.072528391,95354.6185819942,351772.186567156,172532.66662816,32169.4516656307,151528.918184449,240924.154304082,41123.1264585387,125953.427095341,416535.957519034,210389.924236491,420007.211702116,406052.429064685,180341.289834615,430996.336870554,205755.874520239,89898.1994631463,351041.718978909,288569.294750362,114185.488919383,322987.043473239
320,29,94547.0579951752,7595.8553409979,122887.948653667,127719.902283169,9843.8126618103,114669.128847863,61435.3676394197,3970.3318041296,82095.8425789815,133752.455093291,10749.9594256884,71546.017461443,73154.5469426249,17297.9233536962,126949.841278409,250479.2962388,52822.3893971485,173190.463728865,157478.872337733,29808.9740143993,99960.2259484899,88762.2085549983,17679.5920347005,83363.6822152675,172939.513525468,75524.1653690325,176856.181408773,158367.270172122,69700.9032425455,190228.949196103,148645.339953346,66697.7627231543,176622.713137536,104729.061526254,45044.7338269492,145241.144657531
346,30,335272.262516581,32076.7273216726,162717.221248713,326423.867949545,25893.9535652617,215574.615955522,281564.778814998,20183.0888065393,163265.822690586,179698.945817156,15408.1889648086,177632.154377017,255035.814589117,69852.1789527733,191692.29992172,427506.410595083,112899.86268012,260222.048382504,177187.742330003,44553.9828569839,173338.913603198,278701.51263638,82907.7458594065,179673.926863224,423716.606620899,246297.931644253,478810.587897698,322260.300924715,155210.003425506,358636.028101284,315347.218609597,162145.870620729,280183.908649925,339791.946740746,174146.950649883,414700.434899537
351,31,165294.086398438,12898.1347512093,144568.25842526,161357.611142828,12302.9143498373,123442.663651936,421008.563903429,25980.65350743,135571.959154969,175935.304948058,14114.8654867848,93423.6514451869,239508.570228026,49936.1571658436,118810.732614101,219578.615940893,56329.8459656279,177789.204209611,210782.01256483,40636.2476829785,125569.614053558,199151.455249116,42648.803394503,90288.7125375976,323000.924329587,163639.738693817,280497.819691571,215259.506627508,98486.0128075449,184448.27899604,237394.60138583,109413.947301655,212082.491673171,164965.134679127,81770.6574379476,152391.373063716
336,32,113726.45670332,10464.4775317051,47329.901240189,131894.674253879,10712.9620556222,53543.2913242853,317940.411272268,27900.2439324541,68356.8878797267,66690.8963263698,6550.9868162459,39590.9399759497,149611.785196334,38570.3933295726,74490.5553898594,253814.219785227,53290.4435469947,95677.8809791612,61378.1850680153,15691.5718087131,42972.9246209783,130650.419534956,28932.5685432438,171436.16005114,373550.480857972,206507.876220159,250692.001726481,155149.455412068,78932.5704768444,122172.081233564,99791.4035300526,55802.9371059261,75508.1423872536,111696.450749094,64591.3099238494,93525.0441558789
368,33,3407467.50163046,289259.719308555,384523.372557349,4158197.86566705,292518.121058792,412419.61954021,5420381.64995127,446241.973231794,396441.527488362,2875656.28434214,262264.516663558,494696.749704957,3961943.54434462,955743.117899362,822532.567265692,5567021.76878397,1094581.36743755,1017308.52091119,4723276.69950573,1081611.55553963,1015480.15427145,6824651.71768359,1612622.33406308,1559441.23009312,6630499.45861823,3537147.69777196,2021222.37960406,5437976.10919484,2401683.7431634,1561003.97504274,2355027.55829894,1212586.65716539,896673.579569281,4570869.88518696,2330244.12067129,1332451.85178984
372,34,706580.269941409,59229.3734148209,194296.00126971,759597.561086275,47052.6951916777,242450.963260172,958064.621184996,74680.761365796,203772.500191668,1233222.35190485,104254.103213019,208646.684380514,530844.475291088,125206.327230311,306527.251886441,1171258.66616657,230071.408598755,413653.352418228,675524.58218777,148121.530004051,297739.804653021,892594.569010569,196114.276240255,268060.787776853,1564719.91785671,844108.086566357,1226864.2646242,906125.648901215,391402.642773259,650986.152135232,493707.390402476,250695.899789377,445889.472056482,704235.419886822,354403.957162497,506613.892179115
378,35,220766.118399502,15707.2199418272,116888.206639062,188024.047269222,11602.4365408761,112237.010582515,149257.634584547,9739.0185354131,125394.665645388,134330.701968007,10007.5770797016,86115.6149639575,166566.46778305,34711.5332388984,103891.475070025,220645.599465879,43790.0007152219,127283.839239846,157554.730517437,30566.7130945906,137306.555814254,133527.66629518,25802.3754912464,104882.599320967,354119.225175403,177068.550955309,262813.189773714,208568.72789575,78657.4996151298,174867.13398708,167091.200825412,72445.8162694769,188255.189471682,177597.842277592,72913.9763381122,155419.199948757
