"SampleName","glycan","area","narea"
"E_37","GP1",18868,0.0953013860876442
"E_38","GP1",20677,0.100264483519107
"E_38_R2","GP1",15426,0.0867564721194304
"E_39","GP1",17319,0.0894278645948841
"E_39_R2","GP1",17904,0.100125968355519
"E_40","GP1",21874,0.11122988604759
"E_40_R2","GP1",18102,0.10058936074411
"E_41","GP1",18180,0.0889389234202603
"E_42","GP1",18489,0.09254942814725
"E_43","GP1",17616,0.0908155692817987
"E_44","GP1",17257,0.0847129313059958
"E_45","GP1",17752,0.0905704304483175
"E_46","GP1",20116,0.103488896962491
"E_47","GP1",21979,0.0928308475314044
"E_48","GP1",20598,0.0956361491643491
"E_49","GP1",19926,0.0935478947521866
"E_50","GP1",17556,0.0876427208242369
"E_51","GP1",20270,0.0952450808171192
"E_52","GP1",19838,0.0925527809316078
"E_53","GP1",22193,0.0932017016607356
"E_54","GP1",20043,0.0941006723669805
"E_55","GP1",20504,0.0870896071100866
"E_56","GP1",23540,0.102913784785592
"E_57","GP1",17063,0.0868062488899937
"E_58","GP1",24131,0.113561003120469
"E_59","GP1",22249,0.109378526540626
"E_60","GP1",18613,0.0916655692538719
"E_61","GP1",19071,0.0977735008742502
"E_62","GP1",19534,0.092426313270789
"E_63","GP1",25773,0.114959109295055
"E_64","GP1",19296,0.0953659869912609
"E_65","GP1",18082,0.0938783643338224
"E_65_R1","GP1",18273,0.10154318071941
"E_66","GP1",19899,0.102377889709702
"E_67","GP1",20074,0.0976996630398291
"E_67_R1","GP1",17972,0.0989602728907165
"E_68","GP1",18738,0.0940426646947385
"E_69","GP1",20711,0.120453871070215
"E_70","GP1",19697,0.0948952319927541
"E_70_R1","GP1",17371,0.111477325809699
"E_71","GP1",17481,0.0879176610693445
"E_72","GP1",17474,0.0831656400734451
"E_73","GP1",18613,0.0926591160082375
"E_74","GP1",20436,0.0883556420953154
"E_75","GP1",19372,0.0973668773584967
"E_76","GP1",17772,0.0882609377113778
"E_77","GP1",21486,0.0999977660370614
"E_78","GP1",19370,0.0950260509724251
"E_79","GP1",24470,0.112927160135743
"E_80","GP1",19639,0.0900394102943577
"E_81","GP1",19047,0.083725432275897
"E_82","GP1",23153,0.10454062470891
"E_83","GP1",19192,0.0877104305397555
"E_84","GP1",17962,0.089924518874787
"E_85","GP1",19887,0.0983155107734757
"E_86","GP1",22305,0.100721155344128
"E_87_R1","GP1",17960,0.0968210824564673
"E_88_R1","GP1",17113,0.0945764263242012
"E_89_R1","GP1",18807,0.102041364434165
"E_90_R1","GP1",16894,0.096178118185794
"E_91_R1","GP1",18091,0.10548984525396
"E_92_R1","GP1",19038,0.100205775017034
"E_93_R1","GP1",19044,0.099357613689313
"E_94_R1","GP1",18557,0.0938565176263066
"E_95_R1","GP1",17586,0.0921429025024767
"E_96_R1","GP1",18711,0.0946962220504184
"A_01_R1","GP2",124489,0.686988193409617
"A_02_R1","GP2",131986,0.683451743551234
"A_03_R1","GP2",139782,0.70584695802644
"A_04_R1","GP2",118107,0.767079596450418
"A_05","GP2",123875,0.720956007162592
"A_06","GP2",113426,0.693782194375352
"A_07","GP2",142731,0.703445127081033
"A_08","GP2",94075,0.731854102482757
"A_09","GP2",121707,0.682144228719165
"A_10","GP2",148143,0.697669128709718
"A_11","GP2",141899,0.704513280913667
"A_12","GP2",151209,0.689926419072957
"A_13","GP2",147935,0.688208145293586
"A_14","GP2",151397,0.687667528599746
"A_15","GP2",161596,0.705361011697803
"A_16","GP2",100471,0.672096004884906
"A_17","GP2",128377,0.68585096149865
"A_18","GP2",139257,0.693420514525521
"A_19","GP2",142970,0.686253145186916
"A_20","GP2",136587,0.702221658289246
"A_21","GP2",133508,0.689174176709466
"A_22","GP2",109028,0.691907704431762
"A_23","GP2",67739,0.713575634498088
"A_24","GP2",143030,0.689788278450885
"B_01","GP2",116318,0.715013350177908
"B_02","GP2",151633,0.706699107473884
"B_03","GP2",133480,0.70559114376335
"B_04","GP2",132592,0.71144188298586
"B_05","GP2",136961,0.725879547486093
"B_06","GP2",137520,0.717704135864023
"B_07","GP2",142853,0.762254972321948
"B_08","GP2",144146,0.692393418530269
"B_09","GP2",138303,0.715107283155401
"B_10","GP2",147760,0.72470446197928
